Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:35:21
Reading in of parameters:
l1.ionsMayEnter = 1
Read parameters for layer 1 from ../../orga_TL.txt
l2.L = 8E-7
l2.N_anion = 2E21
l2.N_cation = 2E21
l2.N_t_bulk = 1.5E22
Read parameters for layer 2 from ../../pero.txt
l3.ionsMayEnter = 1
Read parameters for layer 3 from ../../orga_TL.txt
NP = 550
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = -1
Vmax = 50
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_2aba6a00-0549-461f-ae2e-fcf25141ce62.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_2aba6a00-0549-461f-ae2e-fcf25141ce62.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_2aba6a00-0549-461f-ae2e-fcf25141ce62.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_tl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
  1    50.000     TRUE      TRUE
  2    48.002     TRUE      TRUE
  3    46.085     TRUE      TRUE
  4    44.243     TRUE      TRUE
  5    42.476     TRUE      TRUE
  6    40.779     TRUE      TRUE
  7    39.149     TRUE      TRUE
  8    37.585     TRUE      TRUE
  9    36.084     TRUE      TRUE
 10    34.642     TRUE      TRUE
 11    33.258     TRUE      TRUE
 12    31.929     TRUE      TRUE
 13    30.653     TRUE      TRUE
 14    29.428     TRUE      TRUE
 15    28.252     TRUE      TRUE
 16    27.124     TRUE      TRUE
 17    26.040     TRUE      TRUE
 18    24.999     TRUE      TRUE
 19    24.000     TRUE      TRUE
 20    23.041     TRUE      TRUE
 21    22.120     TRUE      TRUE
 22    21.236     TRUE      TRUE
 23    20.388     TRUE      TRUE
 24    19.573     TRUE      TRUE
 25    18.791     TRUE      TRUE
 26    18.040     TRUE      TRUE
 27    17.319     TRUE      TRUE
 28    16.627     TRUE      TRUE
 29    15.962     TRUE      TRUE
 30    15.324     TRUE      TRUE
 31    14.712     TRUE      TRUE
 32    14.124     TRUE      TRUE
 33    13.559     TRUE      TRUE
 34    13.017     TRUE      TRUE
 35    12.497     TRUE      TRUE
 36    11.997     TRUE      TRUE
 37    11.518     TRUE      TRUE
 38    11.057     TRUE      TRUE
 39    10.615     TRUE      TRUE
 40    10.191     TRUE      TRUE
 41     9.783     TRUE      TRUE
 42     9.392     TRUE      TRUE
